City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,san fernando de apure,7.8878,-67.4724,35.32,35,67,1.48,VE,1713995437
274,goundam,16.4145,-3.6708,33.46,12,0,2.77,ML,1713995438
275,happy valley-goose bay,53.3168,-60.3315,14.17,21,75,5.66,CA,1713995440
276,ha tien,10.3833,104.4833,28.99,64,100,2.81,VN,1713995441
277,bamyan,34.75,67.25,4.47,60,65,1.09,AF,1713995441
278,susuman,62.7833,148.1667,-5.01,95,82,1.34,RU,1713995442
279,tezu,27.9167,96.1667,21.59,58,93,2.66,IN,1713995442
280,belmonte,-15.8631,-38.8828,25.62,88,5,2.52,BR,1713995442
281,pingzhuang,42.0372,119.2889,12.52,54,68,2.13,CN,1713995443
282,anshun,26.25,105.9333,14.69,94,100,3.67,CN,1713995276
283,amga,60.8953,131.9608,-2.66,83,98,4.4,RU,1713995443
284,holualoa,19.6228,-155.9522,25.43,68,40,6.17,US,1713995443
285,pandan,14.0453,124.1694,25.7,81,57,2.85,PH,1713995443
286,saipan,15.1355,145.701,28.39,74,20,7.2,MP,1713995443
287,chernyshevskiy,63.0128,112.4714,-11.23,94,60,2.11,RU,1713995444
288,roma,43.2128,-75.4557,7.2,64,100,3.09,US,1713995444
289,armacao de buzios,-22.7469,-41.8817,26.03,87,41,2.28,BR,1713995405
290,esmeraldas,-19.7625,-44.3139,27.48,65,0,1.57,BR,1713995444
291,wobulenzi,0.7283,32.5122,18.51,97,100,1.43,UG,1713995445
292,severo-yeniseyskiy,60.3725,93.0408,-2.46,97,100,1.79,RU,1713995445
293,belen,36.4891,36.2233,21.89,40,0,3.09,TR,1713995445
294,hirara,24.8,125.2833,23.15,88,100,5.66,JP,1713995445
295,kidatu,-7.6992,36.9572,21.12,96,63,1.18,TZ,1713995445
296,sawakin,19.1059,37.3321,28.59,63,95,1.78,SD,1713995450
297,motygino,58.1831,94.7592,-9.56,99,84,0.45,RU,1713995450
298,nikol'skoye,59.4931,42.5244,2.57,81,3,1.78,RU,1713995450
299,tura,25.5198,90.2201,23.96,73,0,3.07,IN,1713995450
300,adigrat,14.277,39.462,17.55,63,63,1.64,ET,1713995450
301,palmer,42.1584,-72.3287,18.75,49,75,6.69,US,1713995450
302,tangalle,6.024,80.7911,25.09,89,83,1.78,LK,1713995451
303,farasan,16.7022,42.1183,30.15,75,0,1.49,SA,1713995466
304,dudinka,69.4058,86.1778,-7.4,89,59,4.92,RU,1713995469
305,"laikit, laikit ii (dimembe)",1.4792,124.9735,22.47,100,20,1.54,ID,1713995469
306,kwaksan,39.6875,125.0828,8.58,92,0,1.71,KP,1713995469
307,tarija,-21.5355,-64.7296,26.95,54,40,4.12,BO,1713995470
308,plettenberg bay,-34.0527,23.3716,15.91,90,25,2.46,ZA,1713995478
309,kangding,30.0513,101.9603,6.09,96,100,1.4,CN,1713995478
310,brisas de zicatela,15.8369,-97.0419,32.29,48,0,3.09,MX,1713995478
311,syanno,54.8106,29.7069,8.4,95,100,6.41,BY,1713995478
312,bulgan,48.8125,103.5347,-1.73,74,100,1.37,MN,1713995479
313,avarua,-21.2078,-159.775,28.03,69,75,3.6,CK,1713995479
314,kardla,58.9978,22.7492,4.47,89,100,4.46,EE,1713995481
315,taman',45.2117,36.7161,15.24,63,100,9.99,RU,1713995482
316,vila franca do campo,37.7167,-25.4333,16.23,78,58,3.95,PT,1713995482
317,crane,31.3974,-102.3501,31.04,37,91,10.5,US,1713995483
318,kisangani,0.5167,25.2,21.83,96,100,0.61,CD,1713995484
